Set,Set Order,ESV Reference,Category,Bible Order
1,1:01,Deuteronomy 7:9,Faithfulness (of God),4
1,1:02,Deuteronomy 10:12–13,Obeying God,5
1,1:03,John 1:12–13,Salvation,133
1,1:04,Romans 11:33–36,Sovereignty of God,164
1,1:05,Romans 12:1-2,Sanctification,165
1,1:06,Psalm 56:3-4,"Fear, Battling",38
1,1:07,Psalm 62:5-7 [8],Trusting God,39
1,1:08,Romans 8:1,Work of Christ,155
1,1:09,1 John 2:15-17,"Sin, Battling",253
1,1:10,Philippians 2:5-7,Humility of Christ,207
1,1:11,Philippians 2:8-9,Humility of Christ,208
1,1:12,Philippians 2:10-11,Supremacy of Jesus,209
1,1:13,Philippians 2:12-13,Sanctification,210
1,1:14,James 1:2-3,Endurance,236
1,1:15,James 1:4-5,Endurance,237
1,1:16,Psalm 1:1-2,Word of the Lord,8
1,1:17,Psalm 1:3-4,Word of the Lord,9
1,1:18,Psalm 1:5-6,Word of the Lord,10
1,1:19,Colossians 3:1-3,Life in Christ,218
1,1:20,Ephesians 4:26,"Anger, Battling",198
1,1:21,Isaiah 40:28-29,Sovereignty of God,104
1,1:22,Isaiah 40:30-31,Waiting on God,105
1,1:23,Psalm 86:5-7,Faithfulness (of God),44
1,1:24,1 Timothy 2:5,Supremacy of Jesus,224
1,1:25,1 Peter 1:3–5,Salvation,245
1,1:26,Ephesians 6:10-11,Spiritual Warfare,201
1,1:27,Ephesians 6:12-13,Spiritual Warfare,202
1,1:28,Ephesians 6:14-15,Spiritual Warfare,203
1,1:29,Ephesians 6:16-17 [18],Spiritual Warfare,204
1,1:30,Philippians 1:6,Security in God,205
1,1:31,Matthew 10:28,"Fear, Battling",127
1,1:32,Romans 1:16 [17],Gospel,149
1,1:33,Matthew 11:28-30,Depending on Christ,128
1,1:34,Psalm 20:6–7 [8],Trusting God,16
1,1:35,James 1:12,Endurance,238
1,1:36,2 Corinthians 9:6-7,Generosity,185
1,1:37,2 Corinthians 9:8,Generosity,186
1,1:38,2 Corinthians 12:9 [10],Depending on Christ,187
1,1:39,Isaiah 64:4,Waiting on God,113
1,1:40,Titus 3:4-6,Work of Christ,228
1,1:41,Isaiah 46:9-10 [11],Sovereignty of God,110
1,1:42,Proverbs 1:10,"Sin, Battling",85
1,1:43,Proverbs 3:5-6 [7],Trusting God,86
1,1:44,Proverbs 19:11,"Anger, Battling",97
1,1:45,John 15:5,Life in Christ,144
1,1:46,John 14:2–3,Eternity,142
1,1:47,Psalm 125:1-2,Trusting God,73
1,1:48,Psalm 141:3-4,Speech,84
1,1:49,1 John 1:8-9,"Sin, Battling",252
1,1:50,Psalm 23:1-2,Guidance (of God),17
1,1:51,Psalm 23:3-4,Guidance (of God),18
1,1:52,Psalm 23:5-6,Presence (of God),19
2,2:01,Isaiah 40:8,Word of the Lord,103
2,2:02,Romans 10:13-14 [15],Gospel,162
2,2:03,Psalm 16:11,Joy,12
2,2:04,Romans 15:1-2,Life in Christ,172
2,2:05,Psalm 103:1-4,Goodness (of God),59
2,2:06,Psalm 103:5-7,Goodness (of God),60
2,2:07,Psalm 103:8-10,Goodness (of God),61
2,2:08,Psalm 103:11-14,Goodness (of God),62
2,2:09,Psalm 103:15-16,Goodness (of God),63
2,2:10,Psalm 103:17–19,Goodness (of God),64
2,2:11,Psalm 103:20-22,Praise & Worship,65
2,2:12,Psalm 86:11,Guidance (of God),45
2,2:13,Ephesians 4:29,Speech,199
2,2:14,Ephesians 4:31–32,Sanctification,200
2,2:15,Deuteronomy 6:4–5,Loving God,2
2,2:16,Deuteronomy 6:6–7,Word of the Lord,3
2,2:17,2 Corinthians 5:17,Life in Christ,182
2,2:18,Luke 12:32–34,Generosity,131
2,2:19,Galatians 5:22-23,Sanctification,189
2,2:20,Galatians 5:24-25,Sanctification,190
2,2:21,Proverbs 6:20–21,Obeying God,91
2,2:22,Proverbs 6:22–23,Word of the Lord,92
2,2:23,Philippians 4:11-13,Contentment,216
2,2:24,2 Timothy 1:7,"Fear, Battling",227
2,2:25,1 Peter 5:6-8,"Anxiety, Battling",250
2,2:26,1 Peter 5:9-10 [11],Suffering,251
2,2:27,Proverbs 18:10,Security in God,96
2,2:28,Psalm 91:1-2,Security in God,46
2,2:29,Psalm 91:3–4,Security in God,47
2,2:30,Psalm 91:5–6,Security in God,48
2,2:31,Psalm 91:7-8,Security in God,49
2,2:32,Psalm 91:9-10,Security in God,50
2,2:33,Psalm 91:11-13,Security in God,51
2,2:34,Psalm 91:14-16,Security in God,52
2,2:35,1 Peter 4:16,Suffering,249
2,2:36,John 3:16–17,Gospel,134
2,2:37,Acts 4:11-12,Salvation,146
2,2:38,"Proverbs 29:1, 11","Anger, Battling",100
2,2:39,Philippians 4:19,Faithfulness (of God),217
2,2:40,1 Corinthians 10:13,"Sin, Battling",175
2,2:41,Isaiah 53:4-5,Work of Christ,111
2,2:42,Isaiah 53:6,Work of Christ,112
2,2:43,1 Peter 2:24,Gospel,247
2,2:44,2 Corinthians 4:17-18,Suffering,181
2,2:45,Galatians 2:20,Life in Christ,188
2,2:46,Romans 3:23–24,Gospel,150
2,2:47,Hebrews 11:6,Trusting God,232
2,2:48,"Romans 14:7-8, [9]",Security in God,171
2,2:49,John 3:36,Salvation,135
2,2:50,1 Timothy 4:12,Youth,225
2,2:51,1 Corinthians 2:1-2,Supremacy of Jesus,174
2,2:52,Revelation 5:12-13,Praise & Worship,257
3,3:01,Joshua 1:9,"Fear, Battling",6
3,3:02,2 Chronicles 16:9,Presence (of God),7
3,3:03,Philippians 3:7-8,Supremacy of Jesus,211
3,3:04,Philippians 3:9,Salvation,212
3,3:05,Philippians 3:10-11,Suffering,213
3,3:06,1 Corinthians 1:18,Salvation,173
3,3:07,Psalm 37:[1-2] 3-4,Trusting God,33
3,3:08,Psalm 37:5-6 [7-8],Trusting God,34
3,3:09,Psalm 37:23-24,Guidance (of God),35
3,3:10,Hebrews 12:1,Endurance,233
3,3:11,Hebrews 12:2,Work of Christ,234
3,3:12,Psalm 96:1-3,Praise & Worship,53
3,3:13,Psalm 96:4-5,Sovereignty of God,54
3,3:14,Psalm 96:6-8,Praise & Worship,55
3,3:15,Psalm 96:9-10,Praise & Worship,56
3,3:16,Isaiah 43:25,Forgiveness,108
3,3:17,Romans 12:9-10,Life in Christ,166
3,3:18,Romans 12:11-13,Life in Christ,167
3,3:19,Romans 12:14-16,Life in Christ,168
3,3:20,Romans 12:17–19,Life in Christ,169
3,3:21,Romans 12:20-21,Life in Christ,170
3,3:22,Proverbs 15:1,Speech,93
3,3:23,James 4:13-14,"Pride, Battling",243
3,3:24,James 4:15-17,"Pride, Battling",244
3,3:25,Luke 19:10,Work of Christ,132
3,3:26,Psalm 18:30-31,Word of the Lord,13
3,3:27,Philippians 4:6–7,"Anxiety, Battling",214
3,3:28,Philippians 4:8,Sanctification,215
3,3:29,Psalm 42:11,Trusting God,36
3,3:30,Isaiah 46:3-4,Faithfulness (of God),109
3,3:31,Philippians 1:21,Life in Christ,206
3,3:32,Jeremiah 29:11-14,Seeking God,116
3,3:33,Proverbs 22:1,Contentment,98
3,3:34,Psalm 30:4-5,Suffering,23
3,3:35,Acts 20:35,Generosity,148
3,3:36,Matthew 5:3–6,Sanctification,122
3,3:37,Matthew 5:7–10,Sanctification,123
3,3:38,Matthew 5:11–12,Suffering,124
3,3:39,1 Corinthians 13:4-7,Sanctification,177
3,3:40,Psalm 32:8 [9],Guidance (of God),24
3,3:41,Proverbs 31:30,"Pride, Battling",101
3,3:42,Matthew 6:19–21,Generosity,125
3,3:43,1 Corinthians 10:31,Sanctification,176
3,3:44,Romans 5:18-19,Work of Christ,153
3,3:45,John 5:39-40,Life in Christ,136
3,3:46,1 Peter 2:9-10 [11],Life in Christ,246
3,3:47,Romans 10:17,Word of the Lord,163
3,3:48,Matthew 20:26-28,Humility of Christ,129
3,3:49,2 Corinthians 5:21,Gospel,183
3,3:50,1 John 3:1 [2],Love (of God),254
3,3:51,Ephesians 3:20-21,Provision (of God),197
3,3:52,Matthew 22:37-39,Loving God,130
4,4:01,Isaiah 41:10,"Fear, Battling",106
4,4:02,Isaiah 43:1–3,"Fear, Battling",107
4,4:03,John 14:6,Life in Christ,143
4,4:04,1 Thessalonians 5:14-17,Life in Christ,221
4,4:05,1 Thessalonians 5:18-22,Sanctification,222
4,4:06,Proverbs 3:9-10,Generosity,87
4,4:07,Proverbs 3:11-12,Discipline,88
4,4:08,John 10:27-30,Security in God,140
4,4:09,Acts 5:29,Obeying God,147
4,4:10,Psalm 100:1-3,Praise & Worship,57
4,4:11,Psalm 100:4-5,Faithfulness (of God),58
4,4:12,Ephesians 2:1-3,Work of Christ,193
4,4:13,Ephesians 2:4-5,Work of Christ,194
4,4:14,Ephesians 2:6-7,Work of Christ,195
4,4:15,Ephesians 2:8-10,Salvation,196
4,4:16,Romans 5:8,Gospel,151
4,4:17,Romans 5:9-10,Salvation,152
4,4:18,Psalm 139:1-3,Presence (of God),75
4,4:19,Psalm 139:4-5,Sovereignty of God,76
4,4:20,Psalm 139:6-8,Presence (of God),77
4,4:21,Psalm 139:9-10,Presence (of God),78
4,4:22,Psalm 139:11-12,Presence (of God),79
4,4:23,Psalm 139:13-14,Sovereignty of God,80
4,4:24,Psalm 139:15-16,Sovereignty of God,81
4,4:25,Psalm 139:17-18,Loving God,82
4,4:26,Psalm 139:23-24,Guidance (of God),83
4,4:27,"Proverbs 17:9, 22",Joy,95
4,4:28,Hebrews 1:1-2,Supremacy of Jesus,229
4,4:29,Hebrews 1:3-4,Supremacy of Jesus,230
4,4:30,Jeremiah 1:12,Sovereignty of God,114
4,4:31,Psalm 9:9-10,Seeking God,11
4,4:32,James 1:17,Goodness (of God),239
4,4:33,Psalm 27:1 [2-3],"Fear, Battling",20
4,4:34,Psalm 27:4 [5],Seeking God,21
4,4:35,Psalm 27:13-14,Waiting on God,22
4,4:36,James 1:22-24,Obeying God,241
4,4:37,Revelation 2:10,Suffering,256
4,4:38,Proverbs 26:20,Speech,99
4,4:39,Jeremiah 9:23-24,"Pride, Battling",115
4,4:40,Romans 6:23,Gospel,154
4,4:41,1 Corinthians 15:1-3,Gospel,178
4,4:42,1 Peter 3:18,Gospel,248
4,4:43,Psalm 55:22,"Anxiety, Battling",37
4,4:44,Psalm 127:1,Sovereignty of God,74
4,4:45,James 4:7-8,Obeying God,242
4,4:46,Psalm 119:14-16,Word of the Lord,68
4,4:47,John 15:7,Life in Christ,145
4,4:48,Psalm 118:13-14,Trusting God,67
4,4:49,Proverbs 16:32,"Anger, Battling",94
4,4:50,Hebrews 3:12-13,"Sin, Battling",231
4,4:51,1 Corinthians 15:58,Endurance,180
